اللعبة,الحد الأدنى - معالج,الحد الأدنى - ذاكرة,الحد الأدنى - كرت شاشة,الحد الأدنى - مساحة,الحد الأدنى - نظام,الموصى به - معالج,الموصى به - ذاكرة,الموصى به - كرت شاشة,الموصى به - مساحة,الموصى به - نظام,المصدر
Forza Horizon 4,Intel i3-4170 @ 3.7Ghz / Intel i5 750 @ 2.67Ghz,8 GB,NVidia 650TI / AMD R7 250x,80 GB,Windows 10 64-bit,Intel i7-3820 @ 3.6Ghz,12 GB,NVidia GTX 970 / NVidia GTX 1060 3GB / AMD R9 290x / AMD RX 470,80 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Forza Motorsport (2023),Intel i5-8400 / AMD Ryzen 5 1600,8 GB,NVidia GTX 1060 6GB / AMD RX 5500 XT,130 GB SSD,Windows 10 64-bit,Intel i5-11600K / AMD Ryzen 5 5600X,16 GB,NVidia RTX 2080 Ti / AMD RX 6800 XT,130 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Forza Motorsport 7,Intel i5-750 2.67GHz / AMD FX-6300,8 GB,NVIDIA GT 740 / AMD R7 250x,100 GB,Windows 10 64-bit,Intel i5-760 2.8GHz / AMD FX-8150,8 GB,NVIDIA GTX 1060 / AMD RX 480,100 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
The Crew 2,Intel Core i5-2400s @ 2.5 GHz / AMD FX-6100 @ 3.3 GHz,8 GB,NVIDIA GeForce GTX 660 / AMD HD 7870,27 GB,"Windows 7 SP1, Windows 8.1, Windows 10",Intel Core i5-4690k @ 3.5 GHz / AMD Ryzen 5 1600 @ 3.2 GHz,8 GB,NVIDIA GeForce GTX 1060 6GB / AMD RX 570,27 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
The Crew Motorfest,Intel Core i5-4460 / AMD Ryzen 5 1400,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 570,40 GB,Windows 10 64-bit,Intel Core i7-8700 / AMD Ryzen 5 3600,16 GB,NVIDIA RTX 2070 / AMD Radeon RX 6700 XT,40 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Wreckfest,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.8 GHz,4 GB,NVIDIA Geforce GTX 460 / AMD Radeon HD 6850,15 GB,Windows 7,Intel Core i5-2300 / AMD FX-6300,8 GB,NVIDIA Geforce GTX 780 / AMD Radeon R9 290,15 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
BeamNG.drive,Dual-core processor,4 GB,NVIDIA GeForce GTX 550 Ti / AMD Radeon HD 7750,20 GB,Windows 7 Service Pack 1,Quad-core processor,8 GB,NVIDIA GeForce GTX 780 / AMD Radeon R9 290,20 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Euro Truck Simulator 2,Dual core CPU 2.4 GHz,4 GB,GeForce GTS 450-class (Intel HD 4000),8 GB,Windows 7,Quad core CPU 3.0 GHz,6 GB,GeForce GTX 760-class (2 GB),8 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
American Truck Simulator,Dual core CPU 2.4 GHz,4 GB,GeForce GTS 450-class (Intel HD 4000),8 GB,Windows 7 64-bit,Quad core CPU 3.0 GHz,6 GB,GeForce GTX 760-class (2 GB),8 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Farming Simulator 22,Intel Core i5-3330 / AMD FX-8320,8 GB,NVIDIA GTX 660 / AMD Radeon R7 265,35 GB,Windows 10 64-bit,Intel Core i5-5675C / AMD Ryzen 5 1500X,8 GB,NVIDIA GTX 1060 / AMD Radeon RX 570,35 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Farming Simulator 19,2.0 GHz Intel or equivalent AMD dual-core processor,4 GB,"Nvidia Geforce GTS 450 Series, AMD Radeon HD 6770 graphics card or better",10 GB,"Windows 7, Windows 8, Windows 10",Intel Core i5-3330 or AMD FX-8320 or better processors,8 GB,"Nvidia Geforce GTX 660, AMD Radeon R7 265 graphics card or better (min 2GB VRAM)",10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
SnowRunner,Intel i3-4130 3.4 GHz / AMD Ryzen 3 2200U 3.4 GHz,8 GB,"2 GB, GeForce GTX 660 / Radeon R9 270",20 GB,Windows 7/8/10 64-bit,Intel i7-8700 3.2 GHz / AMD Ryzen 7 2700 3.2 GHz,16 GB,"4 GB, GeForce GTX 970 / Radeon RX 480",20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
MudRunner,Intel Pentium Dual Core 2.0GHz / AMD Athlon II X2 215 2.1GHz,2 GB,"512 MB VRAM, NVIDIA GeForce 9600 GT / AMD Radeon HD 5450",1 GB,Windows Vista/7/8/10,Intel Core 2 Duo 2.5GHz / AMD Athlon II X3 450 3.2GHz,4 GB,"1 GB VRAM, NVIDIA GeForce GTX 470 / AMD Radeon HD 7850",1 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Spintires,Intel Pentium Dual Core 2.0GHz / AMD Athlon II X2 215 2.1GHz,2 GB,NVIDIA GeForce 9600 GT / AMD Radeon HD 5450,1 GB,"Windows XP, Windows Vista, Windows 7 or Windows 8",Intel Core 2 Duo 2.5GHz / AMD Athlon II X3 450 3.2GHz,4 GB,NVIDIA GeForce GTX 470 / AMD Radeon HD 7850,1 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Construction Simulator,Intel Core 2 Duo / AMD Athlon X2,4 GB,NVIDIA GeForce GTS 450 / ATI Radeon HD 5750,10 GB,Windows 7/8/10,Intel Core i5 / AMD FX-6300,8 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 270,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Bus Simulator 21,Intel Core i3-6100 / AMD Ryzen 3 1200,6 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 280,18 GB,Windows 10 64-bit,Intel Core i5-8400 / AMD Ryzen 5 2600,8 GB,NVIDIA GeForce GTX 1060 / AMD Radeon RX 580,18 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Firefighting Simulator,Intel Core i5-2500 / AMD FX-6300,8 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 280,20 GB,Windows 10 64-bit,Intel Core i7-4770 / AMD Ryzen 5 1600,16 GB,NVIDIA GeForce GTX 1060 / AMD Radeon RX 580,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Police Simulator: Patrol Officers,Intel Core i3-2120 / AMD FX-6300,8 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 280,20 GB,Windows 10 64-bit,Intel Core i5-8400 / AMD Ryzen 5 2600,16 GB,NVIDIA GeForce GTX 1060 / AMD Radeon RX 580,20 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Gas Station Simulator,Intel Core i3-4130 / AMD Phenom II X4,8 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7870,10 GB,Windows 7 64-bit,Intel Core i5-8400 / AMD Ryzen 5 2600,16 GB,NVIDIA GeForce GTX 1060 / AMD Radeon RX 580,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Car Mechanic Simulator 2021,Intel Core i3 3.0 GHz / AMD Ryzen 3 3.0 GHz,8 GB,NVIDIA GeForce GTX 750 Ti / AMD Radeon R7 260X,15 GB,Windows 8.1 64-bit,Intel Core i5 3.4 GHz / AMD Ryzen 5 3.4 GHz,16 GB,NVIDIA GeForce GTX 970 / AMD Radeon R9 290,15 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Thief Simulator,Intel Core i5,8 GB,NVidia GeForce GTX 750,5 GB,Windows 7,Intel Core i7,16 GB,NVidia GeForce GTX 1050Ti,5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
House Flipper,Intel Core i3 3.20GHz / AMD Phenom II X4 955 3.2 GHz,4 GB,GeForce GTX 560 / AMD R7-260X,6 GB,Windows 7/8/10,Intel Core i5-8400 / AMD Ryzen 5 1600,8 GB,GeForce GTX 970 / AMD Radeon RX 580,6 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
House Flipper 2,Intel Core i5 8400 / AMD Ryzen 5 2600,8 GB,GeForce GTX 970 / AMD Radeon RX 580,16 GB,Windows 10 64-bit,Intel Core i7 9700K / AMD Ryzen 7 3700X,16 GB,GeForce RTX 3060 Ti / AMD Radeon RX 6700 XT,16 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
PowerWash Simulator,Intel Core i3 3.0 GHz / AMD Ryzen 3 3.0 GHz,4 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 280,6 GB,Windows 8 64-bit,Intel Core i5 3.4 GHz / AMD Ryzen 5 3.4 GHz,8 GB,NVIDIA GeForce GTX 1060 / AMD Radeon RX 580,6 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
PC Building Simulator,Intel Core i5-2500K / AMD Athlon X4 740,4 GB,NVIDIA GeForce GTX 660 / AMD Radeon HD 7870,7 GB,Windows 7 64-bit,Intel Core i5-4460 / AMD Ryzen 3 1200,8 GB,NVIDIA GeForce GTX 970 / AMD Radeon R9 290,7 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
PC Building Simulator 2,Intel Core i5-3570 / AMD FX-8350,8 GB,NVIDIA GeForce GTX 1050 Ti / AMD Radeon R9 380,30 GB,Windows 10 64-bit,Intel Core i7-4770K / AMD Ryzen 5 1600,16 GB,NVIDIA GeForce GTX 1660 Ti / AMD Radeon RX 5600 XT,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Two Point Hospital,Intel Core i3 6100 / AMD FX-4350,4 GB,NVIDIA Geforce GT 1030 2GB / AMD RX 550 2GB,6 GB,Windows 7 64-bit,Intel Core i5 6600 / AMD Ryzen 5 1400,8 GB,NVIDIA Geforce GTX 1060 3GB / AMD RX 580 4GB,6 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Two Point Campus,Intel Core i3 6100 / AMD FX-4350,4 GB,NVIDIA Geforce GT 1030 2GB / AMD RX 550 2GB,6 GB,Windows 7 64-bit,Intel Core i5 6600 / AMD Ryzen 5 1400,8 GB,NVIDIA Geforce GTX 1060 3GB / AMD RX 580 4GB,6 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Planet Coaster,Intel i5-2300 / AMD FX-4300,8 GB,nVidia GTX 560 (2GB) / AMD Radeon 7850 (2GB),8 GB,Windows 7/8.1/10 64-bit,Intel i7-4770 / AMD FX-8350,12 GB,nVidia GTX 980 (4GB) / AMD R9 380 (4GB),8 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Planet Zoo,Intel i5-2500 / AMD FX-6350,8 GB,NVIDIA GeForce GTX 770 (2GB) / AMD Radeon R9 270X (2GB),16 GB,Windows 7/8.1/10 64-bit,Intel i7-4770k / AMD Ryzen 5 1600,16 GB,NVIDIA GeForce GTX 1070 (8GB) / AMD Radeon RX 580 (8GB),16 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Jurassic World Evolution 2,Intel i5-4590 / AMD FX-8370,8 GB,NVIDIA GeForce GTX 1050 Ti (Legacy GPU: GeForce GTX 660) / AMD Radeon RX 470,14 GB,Windows 10 64-bit,Intel i7-5775C / AMD Ryzen 5 1500X,12 GB,NVIDIA GeForce GTX 1070 / AMD RX 570,14 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Jurassic World Evolution,Intel i5-2300 / AMD FX-4300,8 GB,NVIDIA GeForce GTX 1050 (Legacy GPU: GeForce GTX 660) / AMD Radeon 7850 (2GB),12 GB,Windows 7/8.1/10 64-bit,Intel i7-4770 / AMD FX-8350,12 GB,NVIDIA GeForce GTX 1060 / AMD RX 480,12 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
RollerCoaster Tycoon 3: Complete Edition,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.8 GHz,2 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,2 GB,Windows 7/8/10,Intel Core i5 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 560 / AMD Radeon HD 6870,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
RollerCoaster Tycoon Classic,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.8 GHz,2 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,2 GB,Windows 7/8/10,Intel Core i5 / AMD FX-6300,4 GB,NVIDIA GeForce GTX 560 / AMD Radeon HD 6870,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Parkitect,Intel Core i3 2.4 GHz / AMD equivalent,4 GB,NVIDIA GeForce GTX 560 / AMD Radeon HD 6870,1 GB,Windows 7/8/10,Intel Core i5 3.0 GHz / AMD equivalent,8 GB,NVIDIA GeForce GTX 760 / AMD Radeon R9 280,1 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Cities: Skylines,"Intel Core 2 Duo, 3.0GHz / AMD Athlon 64 X2 6400+, 3.2GHz",4 GB,"nVIDIA GeForce GTX 260, 512 MB / ATI Radeon HD 5670, 512 MB",4 GB,Windows 7/8/10,"Intel Core i5-3470, 3.20GHz / AMD FX-6300, 3.5Ghz",6 GB,"nVIDIA GeForce GTX 660, 2 GB / AMD Radeon HD 7870, 2 GB",4 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Cities: Skylines II,Intel Core i7-6700K / AMD Ryzen 5 2600X,8 GB,NVIDIA GeForce GTX 970 / AMD Radeon RX 480,60 GB,Windows 10 64-bit,Intel Core i5-12600K / AMD Ryzen 7 5800X,16 GB,NVIDIA GeForce RTX 3080 / AMD Radeon RX 6800 XT,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
SimCity (2013),AMD Athlon 64 X2 Dual-Core 4000+ / Intel Core 2 Duo Processor 2.0GHz,2 GB,ATI Radeon HD 2x00 / Intel GMA x3x00 / NVIDIA 7800,10 GB,Windows XP/Vista/7,Intel Core 2 Quad Processor / AMD Athlon II X4,4 GB,NVIDIA GeForce GTX 275 / ATI Radeon HD 4890,10 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Cities XL Platinum,Intel Core 2 Duo 2.5 GHz / AMD equivalent,2 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 3870,8 GB,Windows XP/Vista/7/8,Intel Core i5 2.8 GHz / AMD equivalent,4 GB,NVIDIA GeForce GTX 560 / ATI Radeon HD 6950,8 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Civilization VI,Intel Core i3 4th Gen / AMD FX-6300,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 5870,12 GB,Windows 7 64-bit,Intel Core i5 4th Gen / AMD FX-8300,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon HD 7970,12 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Civilization V,Intel Core 2 Duo 1.8 GHz / AMD Athlon X2 64 2.0 GHz,2 GB,256 MB ATI HD2600 XT / 256 MB nVidia 7900 GS / Core i3 integrated graphics,8 GB,Windows XP SP3,1.8 GHz Quad Core CPU,4 GB,512 MB ATI 4800 series / 512 MB nVidia 9800 series,8 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Civilization IV,1.2GHz Intel Pentium 4 / AMD Athlon processor,256 MB,64 MB VRAM,1.7 GB,Windows 2000/XP,2.4GHz Intel Pentium 4 / AMD Athlon processor,512 MB,128 MB VRAM,1.7 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Civilization III,Pentium II 300 MHz,64 MB,4 MB,400 MB,Windows 95/98/ME/2000,Pentium III 500 MHz,128 MB,8 MB,400 MB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Humankind,Intel i5 4th generation / AMD FX-8300,8 GB,NVIDIA GTX 770 / AMD Radeon R9 290,25 GB,Windows 7 64-bit,Intel i5 6th generation / AMD Ryzen 5,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 5500 XT,25 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Old World,Intel Core i5-6400 / AMD FX-8320,8 GB,NVIDIA GTX 770 / AMD Radeon R9 290,16 GB,Windows 7 64-bit,Intel Core i7-8700 / AMD Ryzen 5 2600,16 GB,NVIDIA GTX 1060 / AMD Radeon RX 580,16 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Crusader Kings III,Intel Core i5-4670K / AMD Ryzen 5 2400G,8 GB,NVIDIA GeForce GTX 1650 / AMD Radeon RX 470,8 GB,Windows 8.1 64-bit,Intel Core i7-8670 / AMD Ryzen 5 3600X,16 GB,NVIDIA GeForce GTX 1070 / AMD Radeon RX 580,8 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Crusader Kings II,Intel Pentium IV 2.4 GHz / AMD 3500+,4 GB,NVIDIA GeForce 8800 / ATI Radeon X1900,2 GB,Windows 7,Intel Core 2 Quad 2.6 GHz / AMD Athlon II X4 3.0 GHz,8 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,2 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Europa Universalis IV,Intel Pentium IV 2.4 GHz / AMD 3500+,4 GB,NVIDIA GeForce 8800 / ATI Radeon X1900,6 GB,Windows 7/8,Intel Core 2 Quad 2.6 GHz / AMD Athlon II X4 3.0 GHz,8 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,6 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Hearts of Iron IV,Intel Core i5 750 / AMD FX 4300,4 GB,NVIDIA GeForce GTX 470 / ATI Radeon HD 5850,2 GB,Windows 7 64-bit,Intel Core i5 3570K / AMD FX 6300,8 GB,NVIDIA GeForce GTX 770 / ATI Radeon HD 7970,2 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Stellaris,Intel Core i3-530 / AMD FX-6350,4 GB,NVIDIA GeForce GTX 460 / AMD ATI Radeon HD 5870,10 GB,Windows 7 64-bit,Intel Core i5-3570K / AMD Ryzen 5 2400G,8 GB,NVIDIA GeForce GTX 560 Ti / AMD Radeon R7 370,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Victoria 3,Intel Core i3-3250 / AMD FX 8370,8 GB,NVIDIA GeForce GTX 660 / AMD Radeon R7 370,10 GB,Windows 10 64-bit,Intel Core i5-3570K / AMD Ryzen 5 1400,16 GB,NVIDIA GeForce GTX 1060 / AMD Radeon RX 580,10 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Imperator: Rome,Intel Core i3-2100 / AMD FX-8120,4 GB,NVIDIA GeForce GTX 460 / AMD Radeon HD 6850,5 GB,Windows 7 64-bit,Intel Core i5-3570K / AMD Ryzen 5 1400,8 GB,NVIDIA GeForce GTX 770 / AMD Radeon R9 290,5 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Europa Universalis III,Intel Pentium 4 2.4 GHz / AMD 3500+,2 GB,NVIDIA GeForce 6800 / ATI Radeon x1300,1 GB,Windows XP/Vista,Intel Core 2 Duo 2.4 GHz / AMD Athlon X2 2.8 GHz,4 GB,NVIDIA GeForce 8800 GT / ATI Radeon HD 4850,1 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Total War: Warhammer III,Intel i3/Ryzen 3 series,6 GB,Nvidia GTX 900/AMD RX 400 series / Intel Iris Xe Graphics,120 GB,Windows 10 64-bit,Intel i5/Ryzen 5 series,8 GB,Nvidia GeForce GTX 1660 Ti/AMD RX 5600-XT,120 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Total War: Warhammer II,Intel Core 2 Duo 3.0Ghz,5 GB,NVIDIA GTX 460 1GB / AMD Radeon HD 5770 1GB / Intel HD4000 @720p,60 GB,Windows 7 64-bit,Intel Core i5-4570 3.20GHz,8 GB,NVIDIA GeForce GTX 770 4GB / AMD Radeon R9 290X 4GB,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Total War: Warhammer,Windows XP 32bit,3 GB,AMD Radeon HD 5770 1024MB / NVIDIA GTS 450 1024MB / Intel HD4000 @720P,35 GB,Windows 7 64-bit,Intel Core i5-4570 3.20GHz,8 GB,AMD Radeon R9 270X 2048MB / NVIDIA GeForce GTX 760 2048MB @1080P,35 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Total War: Three Kingdoms,Intel Core 2 Duo 3.00Ghz,4 GB,GTX 650 Ti 1GB/HD 7850 1GB/Intel UHD Graphics 620,60 GB,Windows 7 64-bit,Intel Core i5-6600 / Ryzen 5 2600X,8 GB,GTX 970 / R9 Fury X,60 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Total War: Rome II,2 GHz Intel Dual Core processor / 2.6 GHz Intel Single Core processor,2 GB,512 MB DirectX 9.0c compatible card,35 GB,Windows XP/Vista/7/8,2nd Generation Intel Core i5 processor / AMD equivalent,4 GB,1024 MB DirectX 11 compatible graphics card,35 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Total War: Attila,Intel Core 2 Duo 3 GHz,3 GB,512 MB NVIDIA GeForce 8800 GT / AMD Radeon HD 2900 XT / Intel HD 4000,35 GB,Windows Vista/7/8,Intel Core i5-4570 3.20GHz,8 GB,1024 MB NVIDIA GeForce GTX 560 Ti / AMD Radeon HD 5870,35 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Total War: Shogun 2,2 GHz Intel Single Core processor,1 GB,256 MB DirectX 9.0c compatible card,20 GB,Windows XP/Vista/7/8,2 GHz Intel Dual Core processor,2 GB,512 MB DirectX 9.0c compatible graphics card,20 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Total War: Napoleon,2.3 GHz CPU with Windows Vista/7/8 or 2.2 GHz CPU with Windows XP,1 GB,256 MB Graphics Card,21 GB,Windows XP/Vista/7/8,2.6 GHz CPU with Windows Vista/7/8 or 2.4 GHz CPU with Windows XP,2 GB,512 MB Graphics Card,21 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Total War: Empire,2.3 GHz CPU with Windows Vista/7/8 or 2.2 GHz CPU with Windows XP,1 GB,256 MB Graphics Card,15 GB,Windows XP/Vista/7/8,2.6 GHz CPU with Windows Vista/7/8 or 2.4 GHz CPU with Windows XP,2 GB,512 MB Graphics Card,15 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Total War: Medieval II,"Celeron 1.5GHz Pentium 4
(1500MHz) or equivalent AMD processor",512 MB,128 MB Hardware Accelerated video card with Shader 1 support,11 GB,Windows 2000/XP,Pentium 4 2.4GHz (2400MHz) or equivalent AMD Athlon 64 processor,1 GB,256 MB Hardware Accelerated video card with Shader 2 support,11 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Company of Heroes 3,Intel i5 6th-gen / AMD Ryzen desktop processor,8 GB,NVIDIA GeForce GTX 950 / AMD Radeon R9 370,40 GB,Windows 10 64-bit,Intel i7 8th-gen / AMD Ryzen desktop processor,16 GB,NVIDIA GeForce GTX 1660 Super / AMD Radeon RX 5600,40 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Company of Heroes 2,2Ghz Intel Core2 Duo or equivalent,2 GB,512MB Direct3D 10 capable video card (GeForce 8800 GT or Radeon HD 2900XT),30 GB,Windows Vista/7/8,3Ghz Intel i5 quad core or equivalent,4 GB,1024 MB Direct3D 11 capable video card (GeForce GTX 470 or Radeon HD 5850),30 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Company of Heroes,2.0 Ghz Intel Pentium IV or equivalent,512 MB,DirectX 9.0c compatible 64MB video card with Pixel Shader 1.1 support,6.5 GB,Windows XP or Vista,3.0 Ghz Intel Pentium IV or equivalent,1 GB,256 MB NVIDIA GeForce 6800 series or better,6.5 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Age of Empires IV,Intel Core i5-6300U / AMD Ryzen 5 2400G,8 GB,Intel HD 520 / AMD Radeon RX Vega 11,50 GB,Windows 10 64-bit,3.6 GHz 6-core (Intel i5) / AMD Ryzen 5 1600,16 GB,Nvidia GeForce 970 / AMD Radeon RX 570,50 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Age of Empires III: Definitive Edition,Intel Core 2 Duo or AMD Athlon 64x2 2.0GHz,4 GB,NVIDIA GeForce 8600 GT / ATI Radeon HD 2600 XT,42 GB,Windows 10 64-bit,Intel Core i3-2105 or AMD Athlon II X4 630,8 GB,Nvidia GeForce GTX 550 Ti / AMD Radeon HD 6850 / Intel HD 530,42 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Age of Empires II: Definitive Edition,Intel Core 2 Duo or AMD Athlon 64x2 2.0GHz,4 GB,NVIDIA GeForce 8600 GT / ATI Radeon HD 2600 XT,30 GB,Windows 10 64-bit,Intel Core i3-2105 or AMD Athlon II X4 630,8 GB,Nvidia GeForce GTX 550 Ti / AMD Radeon HD 6850 / Intel HD 530,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Age of Empires: Definitive Edition,Intel Core 2 Duo or AMD Athlon 64x2 2.0GHz,4 GB,NVIDIA GeForce 8600 GT / ATI Radeon HD 2600 XT,30 GB,Windows 10 64-bit,Intel Core i3-2105 or AMD Athlon II X4 630,8 GB,Nvidia GeForce GTX 550 Ti / AMD Radeon HD 6850 / Intel HD 530,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Age of Mythology: Extended Edition,PC with 1.6GHz equivalent or higher processor,1 GB,64 MB video card with Hardware T&L support,3 GB,"Windows Vista, 7, 8.1+",PC with 2.0GHz equivalent or higher processor,2 GB,128 MB video card with Hardware T&L support,3 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
StarCraft II: Wings of Liberty,Windows XP / Windows Vista,1.5 GB,128 MB PCIe NVIDIA GeForce 6600 GT / ATI Radeon 9800 PRO,12 GB,Windows XP/Vista/7,Windows Vista / Windows 7,2 GB,512 MB PCIe NVIDIA GeForce 8800 GTX / ATI Radeon HD 3870,12 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
StarCraft Remastered,Intel Pentium D / AMD Athlon 64 X2,2 GB,NVIDIA GeForce 6800 / ATI Radeon X1600 Pro,8 GB,Windows 7 / Windows 8 / Windows 10,Intel Core 2 Duo E6600 / AMD Athlon 64 X2 5000+,4 GB,NVIDIA GeForce 8800 GTX / ATI Radeon HD 4850,8 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
Warcraft III: Reforged,Intel Core i3-530 / AMD Athlon Phenom II X4 910,4 GB,NVIDIA GeForce GTS 450 / AMD Radeon HD 5750 / Intel UHD Graphics 630,30 GB,Windows 7 / Windows 8 / Windows 10 64-bit,Intel Core i5-6400 / AMD Ryzen 7 1700X,8 GB,NVIDIA GeForce GTX 960 / AMD Radeon R9 280X,30 GB SSD,Windows 10/11 64-bit,"technical.city, Steam Store, official game websites"
Warcraft III: The Frozen Throne,400 MHz Pentium II or equivalent,128 MB,"8 MB 3D video card (TNT, i810, Voodoo 3, Rage 128 equivalent or better) with DirectX 8.1 support",1.3 GB,Windows 98/ME/2000/XP,600 MHz Pentium III or equivalent,256 MB,32 MB 3D video card,1.3 GB SSD,Windows 10,"technical.city, Steam Store, official game websites"
